time	P	Y	R
1.84	-3.43E-05	4.86E-05	-0.0001515655378
1.844	-3.88E-05	5.08E-05	-0.0001532115071
1.848	-4.77E-05	5.29E-05	-0.0001679268193
1.852	-5.44E-05	4.37E-05	-0.0001714019018
1.856	-4.83E-05	3.78E-05	-0.0001758915205
1.86	-4.89E-05	3.60E-05	-0.0001758454479
1.864	-4.11E-05	4.20E-05	-0.000190843633
1.868	-3.77E-05	4.00E-05	-0.0001851871499
1.872	-3.89E-05	4.19E-05	-0.0001745042195
1.876	-4.92E-05	4.02E-05	-0.000168968628
1.88	-3.81E-05	4.24E-05	-0.0001699094778
1.884	-3.40E-05	4.09E-05	-0.0001903557554
1.888	-2.54E-05	4.28E-05	-0.0001726358426
1.892	-2.20E-05	4.46E-05	-0.000166350606
1.896	-2.35E-05	4.70E-05	-0.0001575233349
1.9	-2.68E-05	4.90E-05	-0.0001570202144
1.904	-1.53E-05	3.15E-05	-0.000150392066
1.908	-1.37E-05	2.62E-05	-0.0001246361915
1.912	-7.42E-06	2.08E-05	-0.0001200471583
1.916	2.08E-06	2.66E-05	-0.0001211909821
1.92	-7.26E-06	2.88E-05	-9.73E-05
1.924	-1.55E-05	2.74E-05	-8.09E-05
1.928	-2.32E-05	3.37E-05	-9.37E-05
1.932	-2.23E-05	3.98E-05	-9.67E-05
1.936	-2.14E-05	3.80E-05	-0.0001087453853
1.94	-3.33E-05	4.40E-05	-0.0001157342858
1.944	-2.28E-05	5.32E-05	-0.0001050815892
1.948	-2.19E-05	5.52E-05	-0.0001022149753
1.952	-9.03E-06	5.32E-05	-9.66E-05
1.956	-3.75E-06	5.89E-05	-8.25E-05
1.96	-4.74E-06	5.26E-05	-8.12E-05
1.964	-1.03E-05	5.84E-05	-6.32E-05
1.968	-1.70E-05	6.42E-05	-5.99E-05
1.972	-1.56E-05	6.60E-05	-6.81E-05
1.976	-2.27E-05	7.15E-05	-6.90E-05
1.98	-2.94E-05	6.17E-05	-8.72E-05
1.984	-2.99E-05	6.36E-05	-5.13E-05
1.988	-2.16E-05	6.53E-05	-3.74E-05
1.992	-1.20E-05	5.59E-05	-2.93E-05
1.996	-1.19E-05	6.16E-05	-3.26E-05
2	-1.02E-05	6.38E-05	-3.93E-05
2.004	-5.91E-06	5.76E-05	-6.72E-05
2.008	1.51E-06	5.93E-05	-6.90E-05
2.012	9.87E-07	6.12E-05	-6.05E-05
2.016	-4.92E-06	5.51E-05	-6.75E-05
2.02	4.99E-07	4.55E-05	-5.89E-05
2.024	9.29E-06	4.37E-05	-6.70E-05
2.028	1.77E-05	4.14E-05	-6.15E-05
2.032	2.53E-05	3.97E-05	-6.30E-05
2.036	2.60E-05	3.39E-05	-5.91E-05
2.04	2.41E-05	3.20E-05	-6.18E-05
2.044	1.75E-05	3.45E-05	-6.92E-05
2.048	2.43E-05	4.43E-05	-6.31E-05
2.052	2.88E-05	4.58E-05	-6.84E-05
2.056	2.22E-05	4.41E-05	-5.09E-05
2.06	1.40E-05	4.61E-05	-4.78E-05
2.064	3.46E-06	5.18E-05	-4.82E-05
2.068	-7.88E-06	4.97E-05	-5.66E-05
2.072	2.75E-06	5.52E-05	-6.36E-05
2.076	8.63E-06	5.29E-05	-5.45E-05
2.08	1.84E-05	5.07E-05	-5.33E-05
2.084	2.85E-05	5.63E-05	-6.47E-05
2.088	2.09E-05	5.86E-05	-6.98E-05
