Connecting to host 10.0.0.2, port 5201
[  4] local 10.0.0.1 port 34586 connected to 10.0.0.2 port 5201
[  4] 275.00-276.00 sec   305 MBytes  2.56 Gbits/sec  146   1.41 KBytes       
[  4] 276.00-277.00 sec   322 MBytes  2.71 Gbits/sec  135    805 KBytes       
[  4] 277.00-278.00 sec   802 MBytes  6.73 Gbits/sec  138   1.41 KBytes       
[  4] 278.00-279.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[  4] 279.00-280.00 sec   950 MBytes  7.98 Gbits/sec  196    655 KBytes       
[  4] 280.00-281.00 sec  1.09 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 281.00-282.00 sec  1.10 GBytes  9.41 Gbits/sec    0    655 KBytes       
[  4] 282.00-283.00 sec  1.02 GBytes  8.80 Gbits/sec  289    663 KBytes       
[  4] 283.00-284.00 sec  1.09 GBytes  9.41 Gbits/sec    0    663 KBytes       
[  4] 284.00-285.00 sec  1.09 GBytes  9.41 Gbits/sec    0    663 KBytes       
[  4] 285.00-286.00 sec  1.09 GBytes  9.40 Gbits/sec    2    525 KBytes       
[  4] 286.00-287.00 sec  1.09 GBytes  9.41 Gbits/sec    0    642 KBytes       
[  4] 287.00-288.00 sec   422 MBytes  3.54 Gbits/sec    2   1.41 KBytes       
[  4] 288.00-289.00 sec  0.00 Bytes  0.00 bits/sec    1    450 KBytes       
[  4] 289.00-290.00 sec  0.00 Bytes  0.00 bits/sec    0    450 KBytes       
